scenario,group_id,window_idx,pkt_in,byte_in,avg_len,std_len,same_size_ratio,unique_src_port,top_port_pkt,iat_mean,iat_std,label
s1,r3_s1_retry_on_cont_20251221_215715.pcap,456,42,23146,551.0952380952381,566.0720049068219,0.30952380952380953,4,12,10.638905734550661,36.63001351357297,0
s1,r3_s1_retry_on_cont_20251221_215715.pcap,102,29,17132,590.7586206896551,580.5632018920946,0.3103448275862069,3,10,10.276998792375837,35.91816725354086,0
s1,r3_s1_retry_on_cont_20251221_215715.pcap,1126,42,23126,550.6190476190476,573.5791950293539,0.2857142857142857,4,11,10.877708109413705,37.42855452940527,0
s1,r3_s1_retry_on_cont_20251221_215715.pcap,1003,42,23126,550.6190476190476,573.5791950293539,0.2857142857142857,4,11,10.770216220762672,36.968467666282905,0
s1,r3_s1_retry_on_cont_20251221_215715.pcap,914,38,22786,599.6315789473684,581.7220543149919,0.3157894736842105,4,10,11.492761405738625,37.63231925844276,0
s1,r3_s1_retry_on_cont_20251221_215715.pcap,571,31,17302,558.1290322580645,575.1054176541832,0.2903225806451613,3,11,9.477631251017252,34.22798345655277,0
s1,r3_s1_retry_on_cont_20251221_215715.pcap,419,27,16962,628.2222222222222,584.525026130481,0.3333333333333333,3,9,10.81561125241793,36.29499673154689,0
s1,r3_s1_retry_on_cont_20251221_215715.pcap,2233,37,22701,613.5405405405405,583.2624273577678,0.32432432432432434,4,10,11.717167165544298,37.802009837312774,0
s1,r3_s1_retry_on_cont_20251221_215715.pcap,356,37,22701,613.5405405405405,583.2624273577678,0.32432432432432434,4,10,11.80005735821194,38.06306132789509,0
s1,r3_s1_retry_on_cont_20251221_215715.pcap,1728,9,5654,628.2222222222222,584.525026130481,0.3333333333333333,1,9,9.855121374130249,10.42778457616471,0
s1,r3_s1_retry_on_cont_20251221_215715.pcap,130,36,22616,628.2222222222222,584.525026130481,0.3333333333333333,4,9,12.174000058855329,38.734840847151716,0
s1,r3_s1_retry_on_cont_20251221_215715.pcap,122,38,22786,599.6315789473684,581.7220543149919,0.3157894736842105,4,10,11.504405253642314,37.55990763595452,0
